0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2024年1月28日（日曜） 2回京都2日,6,8,16,トゥラヴェスーラ,牡9,58.0,永島 まなみ,1:08.6,ハナ,1512,33.8,494(+8),高橋 康之,9
2024年1月28日（日曜） 2回京都2日,7,6,11,サンライズオネスト,牡7,57.0,和田 竜二,1:08.6,ハナ,1312,33.9,486(+6),河内 洋,12
2024年1月28日（日曜） 2回京都2日,8,6,12,メイショウソラフネ,牡5,56.0,角田 大河,1:08.6,ハナ,66,34.5,446(-2),石橋 守,7
2024年1月28日（日曜） 2回京都2日,9,7,15,バースクライ,牝4,54.0,岩田 望来,1:08.6,アタマ,911,34.1,490(+8),千田 輝彦,4
2024年1月28日（日曜） 2回京都2日,10,5,10,カワキタレブリー,牡5,55.0,岩田 康誠,1:08.6,アタマ,1718,33.4,444(0),杉山 佳明,14
2024年1月28日（日曜） 2回京都2日,11,3,6,サトノラムセス,牡6,55.0,池添 謙一,1:08.8,１ 1/2,1212,34.1,484(+2),橋口 慎介,16
2024年1月28日（日曜） 2回京都2日,12,4,7,ジューンオレンジ,牝4,54.0,横山 和生,1:08.9,１／２,33,35.0,468(+16),長谷川 浩大,6
2024年1月28日（日曜） 2回京都2日,13,4,8,ディヴィナシオン,牡7,56.0,古川 吉洋,1:09.1,３／４,1312,34.4,484(+8),森 秀行,15
2024年1月28日（日曜） 2回京都2日,14,7,14,テイエムスパーダ,牝5,56.0,富田 暁,1:09.1,クビ,11,35.7,502(+6),木原 一良,10
2024年1月28日（日曜） 2回京都2日,15,2,3,ホープフルサイン,牡8,57.0,太宰 啓介,1:09.2,３／４,1516,34.3,510(+2),本間 忍,13
